,Climate,Operation,TSV,Clo,Met,Ta,Tr,RH,Vel,PMV,PPD
50299,Cfb,Naturally Ventilated,0.0,0.66,1.1,24.2,25.6,38.4,0.1,0.04,5.04
50300,Cfb,Naturally Ventilated,0.0,0.65,1.2,24.6,27.2,40.4,0.0,0.53,10.82
50302,Cfb,Naturally Ventilated,-1.0,0.62,1.3,23.7,27.5,40.9,0.1,0.52,10.63
50305,Cfb,Naturally Ventilated,-1.0,0.61,1.2,25.0,27.1,39.0,0.1,0.47,9.71
50307,Cfb,Naturally Ventilated,1.0,0.54,1.2,24.2,25.2,37.5,0.1,-0.02,5.01
50309,Cfb,Naturally Ventilated,-1.0,0.62,1.3,24.7,26.0,44.8,0.0,0.53,10.82
50345,Cfb,Naturally Ventilated,-3.0,0.6,1.2,22.6,22.7,56.5,0.0,-0.34,7.39
50348,Cfb,Naturally Ventilated,2.0,0.6,1.3,22.7,23.3,55.9,0.1,-0.06,5.08
50352,Cfb,Naturally Ventilated,0.0,0.69,1.2,23.0,23.5,55.0,0.1,-0.04,5.03
50354,Cfb,Naturally Ventilated,-1.0,0.54,1.2,23.1,23.2,55.5,0.1,-0.34,7.45
50355,Cfb,Naturally Ventilated,-1.0,0.37,1.2,23.2,23.6,55.5,0.1,-0.67,14.37
50356,Cfb,Naturally Ventilated,0.0,0.69,1.2,24.5,24.3,51.2,0.1,0.25,6.25
50357,Cfb,Naturally Ventilated,0.0,0.56,1.2,24.5,24.9,52.8,0.1,0.12,5.31
50372,Cfb,Naturally Ventilated,2.0,0.66,1.1,25.2,26.0,48.1,0.1,0.33,7.22
50389,Csa,Naturally Ventilated,1.0,0.65,1.2,30.8,30.8,43.3,0.08,1.89,71.79
50390,Csa,Naturally Ventilated,1.0,0.63,1.2,31.0,31.0,42.4,0.1,1.91,72.68
50391,Csa,Naturally Ventilated,2.0,0.58,1.2,31.1,31.1,43.9,0.07,1.96,74.99
50413,Cfb,Naturally Ventilated,0.0,0.51,1.0,23.2,24.0,59.4,0.1,-0.82,19.27
50414,Cfb,Naturally Ventilated,-2.0,0.43,1.0,23.2,24.3,59.2,0.1,-1.0,26.25
50453,Csa,Naturally Ventilated,1.0,0.65,1.0,26.4,27.8,65.8,0.1,0.76,17.28
50455,Csa,Naturally Ventilated,1.0,0.61,1.2,26.6,28.0,64.9,0.1,1.02,27.13
50456,Csa,Naturally Ventilated,1.0,0.63,1.2,26.8,28.4,64.2,0.1,1.13,31.68
50458,Csa,Naturally Ventilated,1.0,0.7,1.2,26.8,28.4,62.4,0.1,1.18,34.51
50460,Csa,Naturally Ventilated,0.0,0.63,1.2,27.0,28.0,62.2,0.1,1.09,29.91
50461,Csa,Naturally Ventilated,-1.0,0.61,1.2,25.9,28.0,63.4,0.1,0.9,22.29
50463,Csa,Naturally Ventilated,2.0,0.61,1.0,26.1,27.9,65.3,0.1,0.66,14.09
50464,Csa,Naturally Ventilated,0.0,0.71,1.2,25.9,28.6,63.9,0.2,0.9,22.29
50466,Csa,Naturally Ventilated,1.0,0.66,1.2,27.9,27.5,66.0,0.1,1.22,36.29
50580,Csa,Naturally Ventilated,-1.0,0.86,1.3,22.4,23.1,51.0,0.13,0.18,5.66
50581,Csa,Naturally Ventilated,0.0,0.66,1.2,23.2,23.2,49.6,0.1,-0.13,5.37
50582,Csa,Naturally Ventilated,0.0,0.64,1.2,23.0,23.5,48.4,0.07,-0.14,5.43
50583,Csa,Naturally Ventilated,0.0,0.83,1.3,22.5,23.7,52.9,0.05,0.31,7.04
50584,Csa,Naturally Ventilated,0.0,0.77,1.2,23.4,24.0,50.9,0.06,0.21,5.93
50586,Csa,Naturally Ventilated,1.0,0.92,1.2,21.2,21.2,50.6,0.07,-0.16,5.55
50592,Csa,Naturally Ventilated,0.0,0.74,1.3,20.9,22.1,55.5,0.1,-0.19,5.75
50595,Csa,Naturally Ventilated,-1.0,0.69,1.3,23.4,23.7,39.5,0.06,0.16,5.51
50597,Csa,Naturally Ventilated,0.0,0.81,1.2,23.8,22.5,50.2,0.05,0.16,5.52
50598,Csa,Naturally Ventilated,0.0,1.02,1.3,22.8,23.1,44.0,0.06,0.47,9.61
50599,Csa,Naturally Ventilated,0.0,0.72,1.3,22.4,23.2,43.8,0.08,0.04,5.03
50602,Csa,Naturally Ventilated,0.0,0.58,1.2,22.9,23.4,40.0,0.1,-0.36,7.71
50603,Csa,Naturally Ventilated,2.0,0.63,1.2,23.0,23.7,42.5,0.08,-0.18,5.64
50625,Cfb,Naturally Ventilated,2.0,0.68,1.0,23.7,24.1,42.7,0.1,-0.44,9.01
50627,Cfb,Naturally Ventilated,1.0,0.9,1.2,23.3,24.1,44.8,0.1,0.31,7.04
50633,Cfb,Naturally Ventilated,1.0,0.94,1.2,22.4,22.9,49.2,0.1,0.15,5.49
50639,Cfb,Naturally Ventilated,1.0,1.06,1.3,22.1,22.5,48.1,0.1,0.37,7.9
50641,Cfb,Naturally Ventilated,1.0,0.96,1.3,23.4,24.2,45.3,0.1,0.55,11.26
50644,Cfb,Naturally Ventilated,2.0,0.5,1.2,25.3,25.3,42.4,0.1,0.12,5.3
