TSV,Clo,Met,Ta,Tr,RH,Vel
0,0.65,1,21.6,21.6,25.5,0.27
-1,0.82,1,19.8,19.8,29.8,0.25
-1,0.8,1,20.4,20.4,27.8,0.23
-1,0.65,1,19.6,19.6,29.3,0.26
-2,0.65,1,18.5,18.5,30.7,0.25
-1,0.73,1,18.5,18.5,30.9,0.24
-1,1,1,18.9,18.9,31.8,0.23
0,0.83,1,17.9,17.9,40.7,0.25
-3,0.94,1,19.4,19.4,37.1,0.25
0,0.62,1,19.3,19.3,30.8,0.23
0,0.53,1,20.5,20.5,27,0.32
-1,0.52,1,20.8,20.8,26,0.23
-1,0.48,1,21,21,24.9,0.26
-1,0.64,1,20.8,20.8,24.9,0.26
0,0.55,1,19.7,19.7,34.4,0.22
